van:Hyunda:HI:£20:12L:5 seats:2.3 cubic meters luggage space:RQ12IJK:White:Yes:N/A
van:Ford:Transit:£40:2L:3 seats:15.1 cubic meters luggage space:HB71REJ:red:Yes:N/A
car:BMW:Mini:£50:1.1L:4 seats:3 door:RV72FDS:blue:Yes:N/A
bike:Kawasaki:Ninja:£70:1043cc:Passenger seat:No luggage:WC69SBT:green:Yes:N/A
car:BMW:Mini:£50:1.1L:4 seats:3 door:OS69OLJ:black:No:5/2/2023
car:BMW:Mini:£50:1.1L:4 seats:3 door:JQ71PKX:red:Yes:N/A
van:Ford:Transit:£40:2L:3 seats:15.1 cubic meters luggage space:NF71YKE:red:Yes:N/A
bike:Honda:Monkey:£65:125cc:No passenger:No luggage:KW72LTP:red:No:16/1/2023
bike:Honda:Monkey:£65:125cc:No passenger:No luggage:WV70CBX:white:Yes:N/A
car:Nissan:Juke:£55:1.3L:5 seats:5 door:VL69AOL:white:Yes:N/A
car:Nissan:Juke:£55:1.3L:5 seats:5 door:YJ71EXH:white:Yes:N/A
bike:Honda:Monkey:£65:125cc:No passenger:No luggage:OM71RIE:white:No:22/1/2023
bike:Triumph:Speedmaster:£75:1200cc:passenger seat:No luggage:HE69CFE:red:Yes:N/A
bike:Triumph:Speedmaster:£75:1200cc:passenger seat:No luggage:IJ72AEN:green:Yes:N/A
bike:Honda:Monkey:£65:125cc:No passenger:No luggage:WQ68TUV:green:Yes:N/A
van:Ford:Transit:£40:2L:3 seats:15.1 cubic meters luggage space:FD68KTB:black:Yes:N/A
bike:Kawasaki:Ninja:£70:1043cc:Passenger seat:No luggage:LT72ACG:blue:Yes:N/A
car:Nissan:Micra:£50:1.2L:5 seats:5 door:PD71DPO:red:Yes:N/A
van:Ford:Transit:£40:2L:3 seats:15.1 cubic meters luggage space:XK69XIP:black:Yes:N/A
van:Ford:Transit:£40:2L:3 seats:15.1 cubic meters luggage space:EW72RAY:red:Yes:N/A
